year   jan   feb   mar   apr   may   jun   jul   aug   sep   oct   nov   dec   win   spr   sum   aut   ann
1836   65.1   57.5  106.7   66.3   13.6   68.5   79.1   48.7   83.3   96.2  130.8   69.4     ---   186.6   196.3   310.3   885.1
1837   79.9   82.6   29.4   46.1   31.1   49.1   67.9   83.1   56.7   74.9   67.7   77.9   231.9   106.6   200.1   199.3   746.4
1838   25.5   55.5   46.3   43.4   58.2   95.3   64.2   66.0   64.7   78.9  107.0   51.8   158.9   147.8   225.5   250.6   756.8
1839   53.1   53.0   66.7   34.1   23.4   99.1  123.6   76.2  114.8   78.1  114.0   83.5   157.9   124.1   298.9   307.0   919.5
1840   90.2   54.2    9.4   15.0   70.3   49.7   79.9   61.1   80.2   43.4  116.8   17.7   227.9    94.8   190.7   240.4   688.0
1841   67.1   45.2   55.6   45.8   65.8   66.8   83.8   94.1  119.1  134.2  101.6   85.8   130.0   167.2   244.6   354.9   964.8
1842   58.6   43.8   78.2   14.6   55.2   50.3   72.4   53.8   80.7   44.3  134.0   44.9   188.3   148.0   176.5   258.9   730.8
1843   64.5   64.6   29.9   80.2  106.5   68.9   70.4   92.4   19.7  133.6   84.8   17.8   174.0   216.6   231.7   238.1   833.3
1844   58.5   70.4   73.5   15.9    8.3   41.8   64.3   72.2   57.2   84.6   85.3   18.2   146.7    97.6   178.3   227.1   650.2
1845   60.5   31.5   46.2   46.0   59.9   68.7   73.3  107.3   69.6   68.2   73.2   93.8   110.2   152.2   249.3   211.0   798.3
1846   90.1   34.1   54.9   98.9   42.1   47.3   84.8   91.6   46.0  133.2   56.0   43.2   218.1   195.8   223.7   235.2   822.1
1847   50.6   41.9   38.9   46.7   85.2   61.0   31.7   46.5   57.3  102.1   69.6  109.7   135.7   170.7   139.1   229.0   741.0
1848   43.8  116.2   94.4   74.0   23.1  118.8   74.2  109.7   90.0  126.7   52.2   84.4   269.7   191.4   302.7   268.9  1007.6
1849   76.8   42.4   26.7   72.4   73.1   32.7   78.4   52.4   92.2   89.5   58.2   88.4   203.7   172.1   163.5   239.8   783.0
1850   50.3   53.9   17.0   77.3   56.4   40.8   93.3   62.5   54.7   60.4   80.5   54.8   192.6   150.6   196.6   195.7   701.9
